que,556899
ent,540162
les,519112
ait,506033
lle,396861
our,345431
tre,293073
ous,292032
des,291592
ais,290895
ant,287625
eur,284255
par,276107
ell,271975
une,258995
qui,257742
ans,253562
est,253397
ien,250457
tou,223974
dan,223003
son,218223
qu',216242
mme,215387
pou,207254
men,206708
ont,201471
tai,193770
res,189470
pas,185009
omm,183086
mai,180662
vai,180145
out,177932
ire,176364
com,174452
ion,158616
con,157659
vou,155308
éta,155055
eux,152224
ava,149220
che,147037
plu,140321
lus,138431
ons,135865
ain,135331
ouv,132556
fai,131981
and,131639
ill,131254
sse,130133
eme,127329
rai,126997
urs,125414
ort,125235
aut,124728
ave,123818
ère,123494
ran,123115
voi,121212
lui,120355
onn,120355
end,119867
sur,119441
oir,119213
nce,118688
tte,117527
ett,117487
ses,114748
tio,114637
ieu,114618
leu,114617
ure,113553
'un,113384
nte,112506
mon,112417
cha,111739
ren,108234
'il,107846
ois,105809
nou,105732
air,104445
'es,103228
ces,101270
ble,98456
l'a,98396
tes,98170
cou,96623
san,95878
don,95689
u'i,94643
ver,94037
mes,93113
ute,92872
enc,92426
cet,92192
int,92135
uel,92069
lai,91970
dit,90541
ess,89763
ine,88405
ins,87989
ser,86930
anc,86836
ten,86742
uve,86433
uis,86300
ier,85976
tro,85296
pri,85090
nne,85083
oin,82772
ass,82765
vec,82573
ers,82141
d'u,82011
aie,81910
aux,81154
pre,81012
ven,80663
ntr,80630
sai,80306
eau,80266
ter,80173
roi,78938
jou,78848
ssi,78723
ond,76941
ens,76078
ils,75799
pro,75654
bie,75536
sou,75485
tan,75477
ati,74736
peu,73794
tra,73391
moi,73239
rie,73113
nde,72887
art,72460
ite,72341
oit,71408
dre,70122
age,69125
iss,67704
qua,66503
gra,65265
rou,64646
ême,64339
ard,63337
ssa,62645
man,62547
utr,62541
rit,62162
emp,60935
mêm,59946
for,59566
rte,59159
d'a,59063
ris,58886
'ét,58613
rem,58385
cel,58054
vie,58013
squ,57985
ndr,57770
err,57687
lie,57675
per,56915
rès,56144
'en,56050
van,55369
tem,55307
sen,54889
êtr,54804
por,54344
uss,54289
mar,54017
c'e,53961
ièr,53698
deu,53686
ues,53556
nda,53520
avo,53512
uit,53034
cor,52771
pui,52561
dis,52081
nai,51969
ang,51960
hom,51593
eil,51225
ise,51081
ert,50823
pen,50791
iqu,50419
'av,50267
abl,49973
ule,49777
nti,49256
'ai,49223
'on,49070
all,48898
app,48686
nts,48312
lon,48290
l'e,48130
tit,47705
ste,47603
ist,47369
oul,47115
ité,46722
bre,46692
rre,46110
'au,46020
rti,46002
nsi,45562
ena,45204
omp,45132
nes,45057
soi,44822
dev,44645
nco,44473
eva,44176
u'e,44040
aus,43998
isa,43985
sui,43948
elq,43873
lqu,43873
pla,43126
heu,42840
dem,42540
emi,42491
eut,42489
poi,42047
oup,41798
fra,41574
uan,41569
gne,41214
éri,41172
ore,40888
ose,40633
'el,40456
prè,40028
bon,39868
l'o,39824
sie,39807
gar,39733
ors,39708
lem,39452
pos,39367
car,39065
ple,38804
ein,38696
n'a,38487
vre,38418
lan,38387
her,38037
lor,38019
pré,38019
n'e,37937
ign,37904
tie,37886
uva,37602
ura,37484
rta,37339
emb,37078
ord,37076
use,37041
iso,36967
ête,36641
ndi,36606
seu,36356
rri,36125
esp,36009
reu,36008
ari,36001
mil,35897
inc,35753
ale,35277
cri,35214
eti,35212
arr,35059
emm,34803
onc,34639
isi,34633
omb,34469
sem,34446
j'a,34374
ime,34115
rop,34106
otr,34049
mie,34039
nse,34024
ame,33974
fin,33842
ema,33772
ile,33487
eul,33353
era,33295
tin,33118
gen,33003
rép,32994
cho,32791
ler,32751
nna,32736
gue,32707
foi,32685
mou,32624
été,32557
mis,32356
rme,32184
ner,31986
mbr,31982
cie,31912
mps,31739
rés,31726
iti,31723
tur,31675
nta,31615
dir,31482
ret,31444
enf,31310
der,31269
non,31180
sti,30909
pet,30747
bou,30714
sta,30699
fem,30570
rce,30406
nge,30397
mal,30389
ela,30261
dou,30233
ail,30171
nom,29839
agn,29805
ide,29695
hos,29630
mpl,29570
ive,29528
toi,29524
mbl,29458
ami,29399
ama,29388
lla,29222
rin,29009
not,28920
nan,28486
fut,28448
fau,28357
épo,28345
ara,28343
loi,28257
vin,28221
len,28092
att,27921
lit,27919
oya,27904
str,27897
fil,27890
éra,27849
sio,27849
min,27708
bea,27701
apr,27663
auc,27609
jus,27548
rch,27518
u'o,27502
eus,27435
l'h,27362
dam,27243
uvr,27090
ong,27069
nir,26917
arm,26842
arl,26618
ome,26573
fon,26542
alo,26536
ace,26532
arc,26504
eni,26504
sit,26479
ici,26454
ges,26440
mor,26436
aur,26357
let,26349
aît,26317
ujo,26073
riv,26045
ron,25952
die,25818
ole,25789
erv,25771
nie,25585
tel,25476
sor,25399
voy,25359
jeu,25256
cer,25247
uch,25098
uer,25095
l'é,24835
ibl,24788
cen,24786
ouc,24747
rav,24738
rer,24697
eve,24315
nat,24271
ern,24098
erc,24041
veu,24027
'ar,24002
rep,23984
ita,23948
sol,23846
ger,23843
mer,23827
ttr,23787
cro,23380
han,23314
reg,23227
rec,23121
nst,23060
rom,23050
l'i,23001
rir,22992
har,22977
enn,22836
eun,22815
are,22725
pon,22700
imp,22699
auv,22566
jam,22529
met,22481
usq,22312
cti,22274
bla,22218
erm,22202
itu,22137
tat,22057
bli,22057
its,21825
d'e,21813
tri,21682
pie,21511
ndu,21498
oye,21370
uri,21336
aqu,21326
ect,21160
rge,21139
s'é,21130
tir,21085
dai,21029
ega,20977
ice,20927
ria,20910
îtr,20880
ése,20851
orm,20838
fer,20651
ouj,20503
ini,20498
t-i,20484
-il,20484
mad,20432
née,20364
rel,20223
fit,20213
ées,20155
ssé,20139
jet,20136
eco,20116
ubl,19991
rêt,19990
u'u,19941
nté,19939
vot,19828
it-,19821
tab,19795
rqu,19730
cun,19701
ton,19575
nqu,19562
rap,19521
rde,19358
cla,19330
vis,19238
oli,19224
val,19206
rat,19206
nem,19202
pag,19194
fan,19148
gén,19107
vra,19004
ras,18959
vil,18897
teu,18882
usi,18865
quo,18864
ppe,18749
iva,18733
oss,18678
urn,18656
aim,18652
idé,18528
oeu,18509
sir,18479
c'é,18439
sav,18324
sin,18293
nné,18259
ude,18227
yeu,18193
ach,18184
nfi,18167
act,18149
enu,18133
ivr,18116
hes,18072
urt,18052
ada,18032
ali,17966
uoi,17945
ust,17919
ili,17873
hez,17865
sei,17815
arg,17812
den,17785
ind,17753
éné,17711
lac,17707
cle,17633
rle,17602
epr,17549
hau,17548
lut,17545
rne,17520
vit,17507
s'e,17450
neu,17450
pér,17435
vez,17417
uti,17412
atu,17408
oie,17367
sto,17360
sec,17294
ume,17250
ros,17187
hev,17133
ral,17073
nfa,17067
lig,17018
ing,17016
sag,16904
rac,16892
rso,16762
uta,16753
ina,16729
api,16698
u'à,16688
-mê,16657
ivi,16643
roc,16612
ber,16564
ani,16522
amb,16494
lev,16472
écr,16440
abi,16387
lat,16314
mpa,16203
nci,16052
och,16025
tôt,16001
lar,15996
tag,15951
ade,15943
ric,15939
oui,15918
'ho,15917
vol,15913
ceu,15872
oil,15871
rei,15843
lou,15843
mat,15816
eff,15772
pau,15761
orc,15698
nos,15670
pèr,15666
rdi,15666
elu,15649
atr,15601
mpo,15518
ate,15516
esq,15480
épa,15476
rra,15403
mot,15385
ngu,15353
bra,15345
têt,15295
ira,15167
ham,15159
sez,15046
inu,15036
oix,15034
rée,15014
tiq,14981
'in,14957
nér,14915
uil,14879
pli,14826
réc,14747
dro,14746
